"filename", "language", "PHP", "JavaScript", "Log", "XML", "CSS", "comment", "blank", "total"
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/data/deactivate-plugins.php", "PHP", 14, 0, 0, 0, 0, 10, 4, 28
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/data/dserrors.php", "PHP", 1378, 0, 0, 0, 0, 10, 3, 1391
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/data/dsresponse.php", "PHP", 173, 0, 0, 0, 0, 10, 3, 186
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/data/index.php", "PHP", 1, 0, 0, 0, 0, 1, 1, 3
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/data/insiteerrors.php", "PHP", 25, 0, 0, 0, 0, 12, 3, 40
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/data/languages.php", "PHP", 39, 0, 0, 0, 0, 12, 4, 55
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/data/number-order-type.php", "PHP", 22, 0, 0, 0, 0, 12, 4, 38
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/data/redsys-status-paid.php", "PHP", 18, 0, 0, 0, 0, 12, 4, 34
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/data/redsys-types.php", "PHP", 18, 0, 0, 0, 0, 12, 4, 34
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/data/wplanguages.php", "PHP", 208, 0, 0, 0, 0, 12, 4, 224
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/defines.php", "PHP", 25, 0, 0, 0, 0, 5, 9, 39
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/emails/class-redsys-wc-email.php", "PHP", 12, 0, 0, 0, 0, 17, 2, 31
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/emails/index.php", "PHP", 1, 0, 0, 0, 0, 1, 1, 3
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/emails/templates/class-redsys-customer-email-order.php", "PHP", 63, 0, 0, 0, 0, 47, 13, 123
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/emails/templates/html/index.php", "PHP", 1, 0, 0, 0, 0, 1, 1, 3
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/emails/templates/html/redsys-html-customer-problem.php", "PHP", 25, 0, 0, 0, 0, 5, 9, 39
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/emails/templates/index.php", "PHP", 1, 0, 0, 0, 0, 1, 1, 3
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/emails/templates/plain/index.php", "PHP", 1, 0, 0, 0, 0, 1, 1, 3
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/emails/templates/plain/redsys-plain-customer-problem.php", "PHP", 13, 0, 0, 0, 0, 5, 5, 23
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/index.php", "PHP", 1, 0, 0, 0, 0, 1, 1, 3
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/metabox/index.php", "PHP", 1, 0, 0, 0, 0, 1, 1, 3
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/metabox/metaboxes.php", "PHP", 192, 0, 0, 0, 0, 39, 27, 258
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/notices/index.php", "PHP", 1, 0, 0, 0, 0, 1, 1, 3
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/notices/notices.php", "PHP", 125, 0, 0, 0, 0, 26, 17, 168
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/paygold-page.php", "PHP", 107, 0, 0, 0, 0, 17, 8, 132
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/private-products.php", "PHP", 112, 0, 0, 0, 0, 28, 17, 157
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/redsys-add-card.php", "PHP", 10, 0, 0, 0, 0, 5, 2, 17
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/thank-you-checks.php", "PHP", 80, 0, 0, 0, 0, 19, 7, 106
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/thank-you-receipe.php", "PHP", 28, 0, 0, 0, 0, 11, 3, 42
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/woo-status/index.php", "PHP", 1, 0, 0, 0, 0, 1, 1, 3
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/includes/woo-status/status.php", "PHP", 109, 0, 0, 0, 0, 46, 26, 181
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/index.php", "PHP", 1, 0, 0, 0, 0, 1, 1, 3
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/languages/index.php", "PHP", 1, 0, 0, 0, 0, 1, 1, 3
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/woocommerce-gateway-redsys.php", "PHP", 681, 0, 0, 0, 0, 179, 135, 995
"/Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/wpml-config.xml", "XML", 0, 0, 0, 12, 0, 0, 0, 12
"Total", "-", 39314, 272, 0, 274, 110, 4814, 2903, 47687
