Date : 2023-01-12 15:37:51
Directory : /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys
Total : 183 files,  39970 codes, 4814 comments, 2903 blanks, all 47687 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/pattern/circle.svg                              | XML        |         17 |          0 |          0 |         17 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/pattern/cross.svg                               | XML        |          9 |          0 |          0 |          9 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/pattern/danger.svg                              | XML        |          9 |          0 |          0 |          9 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/pattern/default.svg                             | XML        |          1 |          0 |          0 |          1 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/pattern/diamond.svg                             | XML        |         16 |          0 |          0 |         16 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/pattern/dot.svg                                 | XML        |         17 |          0 |          0 |         17 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/pattern/ellipse.svg                             | XML        |          5 |          0 |          0 |          5 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/pattern/heart.svg                               | XML        |         15 |          0 |          0 |         15 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/pattern/oriental.svg                            | XML        |          5 |          0 |          0 |          5 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/pattern/plus.svg                                | XML        |         10 |          0 |          0 |         10 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/pattern/ribbon.svg                              | XML        |          3 |          0 |          0 |          3 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/pattern/shake.svg                               | XML        |         15 |          0 |          0 |         15 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/pattern/sparkle.svg                             | XML        |          5 |          0 |          0 |          5 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/pattern/special-circle-orizz.svg                | XML        |         11 |          0 |          0 |         11 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/pattern/special-circle-vert.svg                 | XML        |         11 |          0 |          0 |         11 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/pattern/special-circle.svg                      | XML        |          4 |          0 |          0 |          4 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/pattern/special-diamond.svg                     | XML        |          6 |          0 |          0 |          6 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/pattern/star.svg                                | XML        |         16 |          0 |          0 |         16 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/images/svg/pattern/x.svg                                   | XML        |         15 |          0 |          0 |         15 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/index.php                                                  | PHP        |          1 |          1 |          1 |          3 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/js/index.php                                               | PHP        |          1 |          1 |          1 |          3 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/js/insite-min.js                                           | JavaScript |          1 |          0 |          1 |          2 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/js/insite.js                                               | JavaScript |         19 |          3 |          0 |         22 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/js/pay-gold-search-user.js                                 | JavaScript |         29 |          1 |          2 |         32 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/js/preauthorizations-min.js                                | JavaScript |          1 |          0 |          1 |          2 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/js/preauthorizations.js                                    | JavaScript |         63 |          3 |         10 |         76 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/js/test-users-min.js                                       | JavaScript |          3 |          0 |          1 |          4 |
| /Users/joseconticalveras/Documents/GitHub/woocommerce-gateway-redsys/assets/js/test-users.js                                           | JavaScript |         56 |          5 |          0 |         61 |
